Name,Description,Status,Level,Latitude,Longitude,PlaceID,ExpectedStability
3!e2c56db5dffb48d2b065d0f5a71096e5,Beacon1,ACTIVE,,,,undefined,MOBILE
3!e2c56db5dffb48d2b065d0f5a71096e7,Beacon1,ACTIVE,,,,undefined,MOBILE
